title,author,age_range,isbn,year,tags,description,detail_url
Bobby Bains Plays a Blinder,"Bali Rai, illustrated Daniel Duncan",20249 to 12 years,,,Dyslexia,"Bobbywantshis nana-ji and Trevorto be friendsbecause they both love football. A heart-warming story of community and kindness – and football! Dyslexiafriendly,andappealing to all readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/bobby-bains-plays-a-blinder/
Dungeon Runners: Hero Trial,illustrated Joe Todd-Stanton,20249 to 12 years,,,"Adventure, Coming-of-age, Fantasy, Funny","Presented in large, clear font and with black and white illustrations throughout, this funny, exciting, imaginative adventure story is a great introduction to fantasy fiction for newlyindependent readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/dungeon-runners-hero-trial/
Marnie Midnight and the Moon Mystery,Laura Ellen Anderson,20249 to 12 years,,,"Adventure, Chapter books, Fantasy, Funny","When young moth Marnie Midnight enrols at Minibeast Academy, she and her new friends, Floyd the bee and Star the ant, embark on a perilous lunar adventure. The first in an exciting new series, this imaginative, bug-sized tale is richly illustrated and full of humour.",https://www.booktrust.org.uk/book-recommendations/bookfinder/marnie-midnight-and-the-moon-mystery/
Monkey King and the World of Myths: The Monster and the Maze,Maple Lam,20249 to 12 years,,,"Adventure, Funny, Graphic novels, Myths and legends","Sun Wukong, legendary monkey king and warrior, faces an ancient evil which threatens the world. Join him on awild and comical adventureas he battles the monsters of ancient Greece.",https://www.booktrust.org.uk/book-recommendations/bookfinder/monkey-king-and-the-world-of-myths-the-monster-and-the-maze/
Movies Showing Nowhere,"Yorick Goldewijk, illustrated Yvonne Lacet",20249 to 12 years,,,"Adventure, Chapter books","When Cate visits Mrs Kano’s cinema, she is transported into a world beyond her wildest dreams. This wonderfully imaginative time-travel adventure beautifully explores the nature of grief, guilt and loneliness.",https://www.booktrust.org.uk/book-recommendations/bookfinder/movies-showing-nowhere/
Nina Peanut is Amazing,Sarah Bowie,20249 to 12 years,,,"Funny, Graphic novels","Nina Peanut is ahilarious, aspiringcontent creator. Whenone of her videosgoes viral,she must learnhow to cope with the challenges offame,friendshipand self-confidence.",https://www.booktrust.org.uk/book-recommendations/bookfinder/nina-peanut-is-amazing/
Nora and the Map of Mayhem,"Joseph Elliott, illustrated Nici Gregory",20249 to 12 years,,,"Adventure, Funny","Can Nora and her great grandchildren find the treasure before her dastardly foe? A hoot of an adventure starring an energetic old lady, a determinedtoddlerand a wonky goose. Great fun.",https://www.booktrust.org.uk/book-recommendations/bookfinder/nora-and-the-map-of-mayhem/
Pirates of Darksea,Catherine Doyle,20249 to 12 years,,,"Adventure, Fantasy","When Max answers the call to join Captain O’Malley’s pirate ship instead of his brother,who’sill,it’sthe start of a rip-roaring fantastical adventure.A page-turner that will have childrengripped and moved.",https://www.booktrust.org.uk/book-recommendations/bookfinder/pirates-of-darksea/
Rune: The Tale of a Thousand Faces,Carlos Sánchez,20249 to 12 years,,,"Adventure, Fantasy, Funny, Graphic novels, Deafness","Chiriand Dai discover a hidden worldfilled with secrets and magic.Afterdiscovering their own hidden powers, the pair team up withabandofunlikelyheroes to take on thesinister Shadow King.",https://www.booktrust.org.uk/book-recommendations/bookfinder/rune-the-tale-of-a-thousand-faces/
Skylar and the K‑Pop Headteacher,Luan Goldie,20249 to 12 years,,,"Coming-of-age, Fantasy, Funny","This funny, engaging, body-swap adventure explores fandom, friendship and empathy via an unmissable dance competition, viral videos and throwing away the school rule book.",https://www.booktrust.org.uk/book-recommendations/bookfinder/skylar-and-the-k-pop-headteacher/
The Clockwork Conspiracy,,20249 to 12 years,,,"Adventure, Chapter books","Isaac’s life is thrown into disarray when his dad mysteriously vanishes from the belfry of Big Ben. As they search for him, Isaac and his friend Hattie uncover asinister plot which threatens Time itself.Afast-paced mystery, whichwill have readers on the edge of their seats.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-clockwork-conspiracy/
The Last Dragon,"Polly Ho-Yen, illustrated Charis Loke",20249 to 12 years,,,"Adventure, Chapter books",Anencounter with areal-lifedragon in Milton Keynes helps12-year-oldYara learn who she is.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-last-dragon/
Time Travellers: Adventure Calling,"Sufiya Ahmed, illustrated Alessia Trunfio",20249 to 12 years,,,"Adventure, Chapter books, Historical",A fascinatingtime-travel adventure exploringthepolitics and history of suffragettes.,https://www.booktrust.org.uk/book-recommendations/bookfinder/time-travellers-adventure-calling/
