age_range,author,categories,description,detail_url,google_books_id,isbn,isbn10,isbn13,language,page_count,published_date,publisher,tags,thumbnail_url,title,year
6 to 9 years,"Polly Ho-Yen, illustrated Sojung Kim-McCarthy",,"Despite being terrified of water, Ita feels strangely drawn to the nearby river and, when she ventures to put her hands beneath the surface, discovers something unexpected and magical that gradually changes how she sees the world.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-girl-who-became-a-fish/,,,,,,,,,"Chapter books, Coming-of-age",,The Girl Who Became a Fish,2023
6 to 9 years,Aaron Becker,Juvenile Fiction,Awordless picture bookfeaturing a robot protagonist and aflooded landscape. It is abeautifully illustrated modernretelling of the Noahs arkstory.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-last-zookeeper/,asTaEAAAQBAJ,9781536237085,1536237086,9781536237085,en,47,2024-03-26,Candlewick Press,"Picture books, Dystopia",https://books.google.com/books/content?id=asTaEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The Last Zookeeper,2024
6 to 9 years,"Mike Barfield, illustrated Franziska Hllbacher",,"Find out the stories behind some of the worlds most important inventions in this funny, comic style, illustrated non-fiction book.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-worlds-first-rollercoaster-and-other-amazing-inventions/,,,,,,,,,"Comic books, Funny, Non-fiction",,The Worlds First Rollercoaster and Other Amazing Inventions,2024
6 to 9 years,"Aisha Bushby, illustrated Kbra Teber",,"Tiny is a miniature girl who lives among the petals of a sunflower. She embarks on a big adventure when she goes in search of friendship. This gentle, inclusive tale explores the effects of bullying and demonstrates the importance of tolerance and kindness.",https://www.booktrust.org.uk/book-recommendations/bookfinder/tiny-the-secret-adventurer/,,,,,,,,,"Adventure, Chapter books, Fantasy",,Tiny the Secret Adventurer,2023
6 to 9 years,Kate Pankhurst,Juvenile Nonfiction,"Luna and her granny learn how to be astronauts together. Packed with space facts, and brilliantly illustrated, this is inspiring STEM content for any child.",https://www.booktrust.org.uk/book-recommendations/bookfinder/we-are-all-astronauts/,aP_QEAAAQBAJ,9781526615411,152661541X,9781526615411,en,34,2023-08-31,Bloomsbury Publishing,Picture books,https://books.google.com/books/content?id=aP_QEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,We Are All Astronauts!,2023
6 to 9 years,"Davina Tijani, illustrated Adam Douglas-Bagley",,"Yomi, aged around 10 and her younger brother Kay are spending the summer with their Uncle Olu who is a Nkara (dragon) researcher travelling the world lecturing on African studies. They are in The Gambias capital city Banjul when Yomi sees Ninki Nanka, the famous and ferocious water dragon and realises it is in trouble.",https://www.booktrust.org.uk/book-recommendations/bookfinder/yomi-and-the-fury-of-ninki-nanka/,,,,,,,,,"Adventure, Chapter books",,Yomi and the Fury of Ninki Nanka,2023
9 to 12+ years,Dev Kothari,Missing children,"When Lenas older brother goes missing, she knows she must find him. But what secrets will she uncover? A gripping mystery set in contemporary India, with themes of family expectations and the importance of the arts.",https://www.booktrust.org.uk/book-recommendations/bookfinder/bringing-back-kay-kay/,vfbp0AEACAAJ,9781529516043,1529516048,9781529516043,en,0,2024,,"Around the world, Poetry and rhyme",https://books.google.com/books/content?id=vfbp0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Bringing Back Kay-Kay,2024
9 to 12+ years,"Tom Vaughan, illustrated David OConnell",Juvenile Nonfiction,"Hercules plan to play it cool when he starts secondary school goes awry when he becomes a target for the school bully. With the arrival of his estranged Greek father, Hercules popularity surges, but at what cost? With a generous smattering of Greek mythology, this laugh-out-loud tale explores the nature of friendship, love and loyalty with a perfect mix of warmth and humour.",https://www.booktrust.org.uk/book-recommendations/bookfinder/hercules-the-diary-of-a-sort-of-hero/,dsIN0AEACAAJ,9780702324635,0702324639,9780702324635,en,0,2024-01-06,,"Adventure, Chapter books, Funny, Myths and legends",https://books.google.com/books/content?id=dsIN0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Hercules: The Diary of a (Sort Of) Hero,
9 to 12+ years,Alastair Chisholm,Juvenile Fiction,Apacy dystopian page-turner.,https://www.booktrust.org.uk/book-recommendations/bookfinder/i-am-wolf/,B-pW0AEACAAJ,9781839945311,1839945311,9781839945311,en,0,2024-05,,"Adventure, Science fiction, Dystopia, Disability",https://books.google.com/books/content?id=B-pW0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,I Am Wolf,2024
9 to 12+ years,"Katherine Rundell, illustrated Tomislav Tomic",Juvenile Fiction,"Katherine Rundell has created an incredibly real-feeling magical world and story to rival classics like Narnia, with writing that sweeps you up and main characters who are simultaneously humanly flawed yet inherently pure and good.",https://www.booktrust.org.uk/book-recommendations/bookfinder/impossible-creatures/,McAdEQAAQBAJ,9781408897430,1408897431,9781408897430,en,386,2024-08-29,Bloomsbury Publishing,"Adventure, Fantasy, Myths and legends",https://books.google.com/books/content?id=McAdEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Impossible Creatures,2023
9 to 12+ years,"Chris Bradford, illustrated Charlotte Grange",Young Adult Fiction,"With a great mix of science fiction and science fact, this nail-biting race-against-time is presented in an accessible format with black and white illustrations.",https://www.booktrust.org.uk/book-recommendations/bookfinder/lunar/,txHsEAAAQBAJ,9781800903173,1800903170,9781800903173,en,50,2023-10-05,HarperCollins UK,"Adventure, Science fiction, Thriller, Dyslexia",https://books.google.com/books/content?id=txHsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Lunar,
9 to 12+ years,Hiba Noor Khan,,"Focussing on the experiences of a small group of individuals, Safiyyahs story shines a spotlight on an under-recognised pocket of resistance from World War II when hundreds of Jews were led to safety via underground passages from the Grand Mosque in Paris.",https://www.booktrust.org.uk/book-recommendations/bookfinder/safiyyahs-war/,,,,,,,,,"Around the world, Coming-of-age, Historical, Thriller",,Safiyyahs War,2023
9 to 12 years,by Usborne,,"Delve into the world of sports with this compilation of fascinating facts from around the world. Featuring engaging information,illustrationsand infographics, this isa great choicefor all sports lovers!",https://www.booktrust.org.uk/book-recommendations/bookfinder/100-things-to-know-about-sport/,,,,,,,,,Non-fiction,,100 Things to Know About Sport,2024
9 to 12 years,Tom Palmer,Juvenile Fiction,"In the midst ofwar, amysterious figureisperforming acts of kindness in a Lake District village. Can Tarn find out who it is? An excellent addition to fiction about World War II.",https://www.booktrust.org.uk/book-recommendations/bookfinder/angel-of-grasmere/,7DfpEAAAQBAJ,9780008700737,0008700737,9780008700737,en,121,2024-05-09,HarperCollins UK,"Historical, Dyslexia",https://books.google.com/books/content?id=7DfpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Angel of Grasmere,2024
9 to 12 years,illustrated The Boy Fitz Hammond,,"Sports expert Clare Balding is here to commentate on a stupendous set of eight edge-of-your-seat sporting events featuring all manner of brilliantly fast, strong and agile animals.",https://www.booktrust.org.uk/book-recommendations/bookfinder/animal-all-stars-incredible-facts-stats-and-stories-from-the-greatest-record-breakers-in-the-animal-world/,,,,,,,,,"Fantasy, Interactive, Non-fiction",,Animal All-Stars,2024
9 to 12 years,Lisa Williamson,Juvenile Fiction,This funny and touching coming-of-age story reflects the experiences of many youngsters making the transition to secondary school or experiencing changes in the family.,https://www.booktrust.org.uk/book-recommendations/bookfinder/best-friends-forever/,-IHcEAAAQBAJ,9781913101565,1913101568,9781913101565,en,209,2023-10-12,Michael O'Mara Books,"Coming-of-age, Funny",https://books.google.com/books/content?id=-IHcEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Best Friends Forever,2023
9 to 12 years,Catherine Bruton,Juvenile Fiction,"Recently orphaned Will is sent to stay with an uncle hedoesntknow in a remote, mountainous valley.By caring for an injured osprey, heslowly comes to terms with his grief and learns to trust again.",https://www.booktrust.org.uk/book-recommendations/bookfinder/bird-boy/,DnfbEAAAQBAJ,9781839946509,1839946504,9781839946509,en,235,2024-05-09,Nosy Crow,Coming-of-age,https://books.google.com/books/content?id=DnfbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bird Boy,2024
9 to 12 years,"Bali Rai, illustrated Daniel Duncan",Juvenile Fiction,"Bobbywantshis nana-ji and Trevorto be friendsbecause they both love football. A heart-warming story of community and kindness - and football! Dyslexiafriendly,andappealing to all readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/bobby-bains-plays-a-blinder/,FDnpEAAAQBAJ,9780008700911,0008700915,9780008700911,en,71,2024-06-06,HarperCollins UK,Dyslexia,https://books.google.com/books/content?id=FDnpEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Bobby Bains Plays a Blinder,2024
9 to 12 years,illustrated Angela Vives,,Engagingly told life stories of fourteen Black British people and their contributions to the world.,https://www.booktrust.org.uk/book-recommendations/bookfinder/bright-stars-of-black-british-history/,,,,,,,,,"Historical, Non-fiction",,Bright Stars of Black British History,2023
9 to 12 years,"Jasbinder Bilan, illustrated Skylar White",Juvenile Fiction,Apowerful and quick to read adventure storyon saving a humpback whalein Scotland.,https://www.booktrust.org.uk/book-recommendations/bookfinder/calling-the-whales/,fRHsEAAAQBAJ,9781800902664,1800902662,9781800902664,en,58,2023-07-06,HarperCollins UK,"Adventure, Chapter books, Disability, Dyslexia",https://books.google.com/books/content?id=fRHsEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Calling the Whales,2023
9 to 12 years,illustrated Joe Todd-Stanton,,"Presented in large, clear font and with black and white illustrations throughout, this funny, exciting, imaginative adventure story is a great introduction to fantasy fiction for newlyindependent readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/dungeon-runners-hero-trial/,,,,,,,,,"Adventure, Coming-of-age, Fantasy, Funny",,Dungeon Runners: Hero Trial,2024
9 to 12 years,Laura Ellen Anderson,Juvenile Fiction,"When young moth Marnie Midnight enrols at Minibeast Academy, she and her new friends, Floyd the bee and Star the ant, embark on a perilous lunar adventure. The first in an exciting new series, this imaginative, bug-sized tale is richly illustrated and full of humour.",https://www.booktrust.org.uk/book-recommendations/bookfinder/marnie-midnight-and-the-moon-mystery/,rRbJEAAAQBAJ,9780008591342,0008591342,9780008591342,en,180,2024-02-01,HarperCollins UK,"Adventure, Chapter books, Fantasy, Funny",https://books.google.com/books/content?id=rRbJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Marnie Midnight and the Moon Mystery,2024
9 to 12 years,Maple Lam,Comics & Graphic Novels,"Sun Wukong, legendary monkey king and warrior, faces an ancient evil which threatens the world. Join him on awild and comical adventureas he battles the monsters of ancient Greece.",https://www.booktrust.org.uk/book-recommendations/bookfinder/monkey-king-and-the-world-of-myths-the-monster-and-the-maze/,-Htf0AEACAAJ,9781444977134,144497713X,9781444977134,en,0,2024-04-11,Hodder Children's Books,"Adventure, Funny, Graphic novels, Myths and legends",https://books.google.com/books/content?id=-Htf0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Monkey King and the World of Myths: The Monster and the Maze,2024
9 to 12 years,Dave Shelton,Juvenile Fiction,"A brilliantly funny, and gloriously rambling, historical hunt for a monster with a great twist at the end and a subtle message about not judging by appearances.",https://www.booktrust.org.uk/book-recommendations/bookfinder/monster-in-the-woods/,lL3NEAAAQBAJ,9781788452229,1788452224,9781788452229,en,312,2023-08-03,David Fickling Books,"Adventure, Coming-of-age, Fantasy, Funny",https://books.google.com/books/content?id=lL3NEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Monster in the Woods,2023
9 to 12 years,"Yorick Goldewijk, illustrated Yvonne Lacet",Juvenile Fiction,"When Cate visits Mrs Kanos cinema, she is transported into a world beyond her wildest dreams. This wonderfully imaginative time-travel adventure beautifully explores the nature of grief, guilt and loneliness.",https://www.booktrust.org.uk/book-recommendations/bookfinder/movies-showing-nowhere/,2xztEAAAQBAJ,9781782694113,1782694110,9781782694113,en,217,2024-04-04,Pushkin Press,"Adventure, Chapter books",https://books.google.com/books/content?id=2xztEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Movies Showing Nowhere,2024
9 to 12 years,Sarah Bowie,Juvenile Fiction,"Nina Peanut is ahilarious, aspiringcontent creator. Whenone of her videosgoes viral,she must learnhow to cope with the challenges offame,friendshipand self-confidence.",https://www.booktrust.org.uk/book-recommendations/bookfinder/nina-peanut-is-amazing/,6PKtzwEACAAJ,9780702329876,0702329878,9780702329876,en,0,2024-01-04,,"Funny, Graphic novels",https://books.google.com/books/content?id=6PKtzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Nina Peanut is Amazing,2024
9 to 12 years,"Joseph Elliott, illustrated Nici Gregory",Juvenile Fiction,"Can Nora and her great grandchildren find the treasure before her dastardly foe? A hoot of an adventure starring an energetic old lady, a determinedtoddlerand a wonky goose. Great fun.",https://www.booktrust.org.uk/book-recommendations/bookfinder/nora-and-the-map-of-mayhem/,dl_VEAAAQBAJ,9781800785007,1800785003,9781800785007,en,245,2024-06-06,Bonnier Zaffre Ltd.,"Adventure, Funny",https://books.google.com/books/content?id=dl_VEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Nora and the Map of Mayhem,2024
9 to 12 years,Maz Evans,Juvenile Fiction,"Super-sporty Vesper and super-bright Aster are cousins and now reluctant partners in stopping Kizin, the Maya god of death, from killing everyone in the world. A brilliant adventure full of action and humour... and chocolate!",https://www.booktrust.org.uk/book-recommendations/bookfinder/oh-maya-gods/,TlHnEAAAQBAJ,9781915026866,1915026865,9781915026866,en,305,2024-04-01,Chicken House,"Adventure, Funny, Myths and legends",https://books.google.com/books/content?id=TlHnEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Oh Maya Gods,2023
9 to 12 years,Catherine Doyle,Juvenile Fiction,"When Max answers the call to join Captain OMalleys pirate ship instead of his brother,whosill,itsthe start of a rip-roaring fantastical adventure.A page-turner that will have childrengripped and moved.",https://www.booktrust.org.uk/book-recommendations/bookfinder/pirates-of-darksea/,1kPbEAAAQBAJ,9781526655080,152665508X,9781526655080,en,210,2024-03-14,Bloomsbury Publishing,"Adventure, Fantasy",https://books.google.com/books/content?id=1kPbEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Pirates of Darksea,2024
9 to 12 years,Carlos Snchez,Juvenile Fiction,"Chiriand Dai discover a hidden worldfilled with secrets and magic.Afterdiscovering their own hidden powers, the pair team up withabandofunlikelyheroes to take on thesinister Shadow King.",https://www.booktrust.org.uk/book-recommendations/bookfinder/rune-the-tale-of-a-thousand-faces/,ZVmgzwEACAAJ,9781838741211,1838741216,9781838741211,en,0,2024-05-02,Nobrow Press,"Adventure, Fantasy, Funny, Graphic novels, Deafness",https://books.google.com/books/content?id=ZVmgzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Rune: The Tale of a Thousand Faces,2024
9 to 12 years,"Guy Bass, illustrated Alessia Trunfio",Juvenile Fiction,"Scrap the robot has vowed never to help another human. Now two children need him, and hes catapulted into a breakneck adventure full of action and humour. A fantastic read.",https://www.booktrust.org.uk/book-recommendations/bookfinder/scrap/,U-zezwEACAAJ,9781788955973,1788955978,9781788955973,en,0,2023-10-12,,"Adventure, Science fiction",https://books.google.com/books/content?id=U-zezwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Scrap,2023
9 to 12 years,Gabriel Dylan,Juvenile Fiction,"A short, snappy rollercoaster of a horror story with a skilful build-up of tension fromThis sleepy town is so bland, nothing ever happens here toAargh, were all going to die!.",https://www.booktrust.org.uk/book-recommendations/bookfinder/shiver-point/,Jv6tEAAAQBAJ,9781800784789,1800784783,9781800784789,en,137,2023-09-14,Bonnier Zaffre Ltd.,Horror,https://books.google.com/books/content?id=Jv6tEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Shiver Point,2023
9 to 12 years,"Camilla de la Bedoyere, illustrated Vasilisa Romanenko",,"From the big to the small, size is important and can tell us a lot about the animals and plants that live on planet Earth. This fascinating book zooms in on size to reveal all kinds of interesting facts about why things are the size that they are, and to give young readers a sense of scale.",https://www.booktrust.org.uk/book-recommendations/bookfinder/size-wise/,,,,,,,,,Non-fiction,,Size Wise,2023
9 to 12 years,Luan Goldie,,"This funny, engaging, body-swap adventure explores fandom, friendship and empathy via an unmissable dance competition, viral videos and throwing away the school rule book.",https://www.booktrust.org.uk/book-recommendations/bookfinder/skylar-and-the-k-pop-headteacher/,,,,,,,,,"Coming-of-age, Fantasy, Funny",,Skylar and the KPop Headteacher,2024
9 to 12 years,"Sathnam Sanghera, illustrated Jen Khatun",Juvenile Nonfiction,An accessible and fascinating look at the British Empire and how it still affects our lives today.,https://www.booktrust.org.uk/book-recommendations/bookfinder/stolen-history/,2YGEEAAAQBAJ,9780241623442,0241623448,9780241623442,en,164,2023-06-08,Random House,"Around the world, Historical, Non-fiction",https://books.google.com/books/content?id=2YGEEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Stolen History,2023
9 to 12 years,"Emily-Jane Clark, illustrated Jeff Crowther",Juvenile Fiction,"After reluctantly moving to the tiny village of Knobbly Bottom, Maggie is astonished when she encounters a flock of vampire sheep who are determined to take over the world. This hilarious chapter book, with a fast-paced plot and dynamic black-and-white illustrations, is the first in a fabulously funny series that is perfect for junior readers.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-beasts-of-knobbly-bottom-attack-of-the-vampire-sheep/,uGqfzwEACAAJ,9780702325106,0702325104,9780702325106,en,0,2023-01-12,,"Adventure, Chapter books, Fantasy, Funny, Horror",https://books.google.com/books/content?id=uGqfzwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Beasts of Knobbly Bottom: Attack of the Vampire Sheep,2023
9 to 12 years,Benjamin Dean,Juvenile Fiction,"Zeds dad is the First Hunter of Demons. But when Zed meets a Demon, he discovers thattheyrenotas terrifying asthe mythssay. Exciting and full ofheart.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-boy-who-fell-from-the-sky/,3pO6EAAAQBAJ,9781398518735,1398518735,9781398518735,en,187,2024-01-18,Simon and Schuster,"Adventure, Science fiction",https://books.google.com/books/content?id=3pO6EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The Boy Who Fell from the Sky,2023
9 to 12 years,,,"Isaacs life is thrown into disarray when his dad mysteriously vanishes from the belfry of Big Ben. As they search for him, Isaac and his friend Hattie uncover asinister plot which threatens Time itself.Afast-paced mystery, whichwill have readers on the edge of their seats.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-clockwork-conspiracy/,S33X0AEACAAJ,9781472635785,1472635787,9781472635785,en,0,2024-02,,"Adventure, Chapter books",,The Clockwork Conspiracy,2024
9 to 12 years,"Matt Goodfellow, illustrated Joe Todd-Stanton",,"When he falls out with his best friend and then his little brother is rushed into hospital, Nates world is turned upside-down. This incredibly powerful novel, written entirely in free verse and accompanied by thoughtful illustrations, is an emotional read.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-final-year/,,,,,,,,,"Chapter books, Poetry and rhyme",,The Final Year,2023
9 to 12 years,"Polly Ho-Yen, illustrated Charis Loke",Children's stories,Anencounter with areal-lifedragon in Milton Keynes helps12-year-oldYara learn who she is.,https://www.booktrust.org.uk/book-recommendations/bookfinder/the-last-dragon/,E7-n0AEACAAJ,9781913311612,1913311619,9781913311612,en,0,2024-06,,"Adventure, Chapter books",https://books.google.com/books/content?id=E7-n0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,The Last Dragon,2024
9 to 12 years,"Frank Cottrell-Boyce, illustrated Steven Lenton",Juvenile Fiction,"A funny, glitter-spangled, mystery thriller for anyone who likes a dose of danger with their magic.",https://www.booktrust.org.uk/book-recommendations/bookfinder/the-wonder-brothers/,NkedEAAAQBAJ,9781529048322,152904832X,9781529048322,en,217,2023-07-20,Pan Macmillan,"Adventure, Around the world, Funny, Thriller",https://books.google.com/books/content?id=NkedEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The Wonder Brothers,2023
9 to 12 years,"Sufiya Ahmed, illustrated Alessia Trunfio",,A fascinatingtime-travel adventure exploringthepolitics and history of suffragettes.,https://www.booktrust.org.uk/book-recommendations/bookfinder/time-travellers-adventure-calling/,72AX0AEACAAJ,9781788956598,1788956591,9781788956598,en,0,2024-02,Time Travellers,"Adventure, Chapter books, Historical",https://books.google.com/books/content?id=72AX0AEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Time Travellers: Adventure Calling,2024
9 to 12 years,"Joshua Seigal, illustrated Chris Piascik",Juvenile Fiction,"A funny and engaging poetry collection, perfect for reading aloud and for sharing.",https://www.booktrust.org.uk/book-recommendations/bookfinder/who-let-the-words-out/,ckqoEAAAQBAJ,9781801992084,1801992088,9781801992084,en,66,2023-09-14,Bloomsbury Publishing,"Funny, Poetry and rhyme",https://books.google.com/books/content?id=ckqoEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Who Let the Words Out?,2023
